id,name,formatted_name,kind,shift,full_price,offered_price,hide_prices,exemption,total_seats,paid_seats,available_seats,visible_seats,use_overbooking,exclusive,discount_group_position,enabled_in_discount_group,visible_in_discount_group,exclusivity_revision,extra_discount_text,extra_benefit,extra_warning,period_kind,max_periods,university_id,campus_id,enabled,enabled_for_seo,level,contribution_price,facebook_message,partner_fies,hidden,early_enrollment,force_price_update,pending_seats,metadata[code],metadata[shift_code],metadata[level_code]
419367,Engenharia Ambiental,Engenharia Ambiental - Bolsa Exclusiva 50.0%,Presencial,Noite,1617.0,808.5,false,true,7,0,7,4,false,true, - ,false,false,1, - , - , - ,semestre,11,1114,4998,true,true,Bacharelado (graduação),808.5, - ,false,false,false,false,0, - , - , - 
419368,Gestão da Qualidade,Gestão da Qualidade - Bolsa Exclusiva 50.0%,Presencial,Noite,761.4,380.7,false,true,3,0,3,3,false,true, - ,false,false,1, - , - , - ,semestre,5,1114,4998,true,true,Tecnólogo (graduação),380.7, - ,false,false,false,false,0, - , - , - 
419369,Gestão Comercial,Gestão Comercial - Bolsa Exclusiva 50.0%,Presencial,Noite,761.4,380.7,false,true,3,0,3,3,false,true, - ,false,false,1, - , - , - ,semestre,5,1114,4998,true,true,Tecnólogo (graduação),380.7, - ,false,false,false,false,0, - , - , - 
419370,Gestão Financeira,Gestão Financeira - Bolsa Exclusiva 50.0%,Presencial,Noite,761.4,380.7,false,true,4,0,4,4,false,true, - ,false,false,1, - , - , - ,semestre,5,1114,4998,true,true,Tecnólogo (graduação),380.7, - ,false,false,false,false,0, - , - , - 
419371,Logística,Logística - Bolsa Exclusiva 50.0%,Presencial,Noite,761.4,380.7,false,true,4,0,4,4,false,true, - ,false,false,1, - , - , - ,semestre,5,1114,4998,true,true,Tecnólogo (graduação),380.7, - ,false,false,false,false,0, - , - , - 
419372,Administração,Administração - Bolsa Exclusiva 50.0%,Presencial,Noite,931.77,465.89,false,true,5,0,5,5,false,true, - ,false,false,1, - , - , - ,semestre,9,1114,10905,true,true,Bacharelado (graduação),465.89, - ,false,false,false,false,0, - , - , - 
419373,Design de Interiores,Design de Interiores - Bolsa Exclusiva 50.0%,Presencial,Noite,839.61,419.81,false,true,5,0,5,5,false,true, - ,false,false,1, - , - , - ,semestre,5,1114,10905,true,true,Tecnólogo (graduação),419.81, - ,false,false,false,false,0, - , - , - 
419374,Gestão da Qualidade,Gestão da Qualidade - Bolsa Exclusiva 50.0%,Presencial,Noite,839.61,419.81,false,true,5,0,5,4,false,true, - ,false,false,1, - , - , - ,semestre,5,1114,10905,true,true,Tecnólogo (graduação),419.81, - ,false,false,false,false,0, - , - , - 
419375,Análise e Desenvolvimento de Sistemas,Análise e Desenvolvimento de Sistemas - Bolsa Exclusiva 50.0%,Presencial,Noite,839.61,419.81,false,true,1,0,1,1,false,true, - ,false,false,1, - , - , - ,semestre,6,1114,10905,true,true,Tecnólogo (graduação),419.81, - ,false,false,false,false,0, - , - , - 
419376,Gestão Financeira,Gestão Financeira - Bolsa Exclusiva 50.0%,Presencial,Noite,839.61,419.81,false,true,6,0,6,4,false,true, - ,false,false,1, - , - , - ,semestre,5,1114,10905,true,true,Tecnólogo (graduação),419.81, - ,false,false,false,false,0, - , - , - 
