id,name,formatted_name,kind,shift,full_price,offered_price,hide_prices,exemption,total_seats,paid_seats,available_seats,visible_seats,use_overbooking,exclusive,discount_group_position,enabled_in_discount_group,visible_in_discount_group,exclusivity_revision,extra_discount_text,extra_benefit,extra_warning,period_kind,max_periods,university_id,campus_id,enabled,enabled_for_seo,level,contribution_price,facebook_message,partner_fies,hidden,early_enrollment,force_price_update,pending_seats,metadata[code],metadata[shift_code],metadata[level_code]
419452,Psicopedagogia Institucional,Psicopedagogia Institucional,EaD,Outro,199.0,99.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,99.5, - ,false,false,false,false,0, - , - , - 
419453,Gestão Escolar e Políticas Educacionais,Gestão Escolar e Políticas Educacionais,EaD,Outro,199.0,99.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,99.5, - ,false,false,false,false,0, - , - , - 
419454,Gestão da Educação e Politicas Públicas Educacionais,Gestão da Educação e Politicas Públicas Educacionais,EaD,Outro,199.0,99.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,99.5, - ,false,false,false,false,0, - , - , - 
419455,Docencia para o Ensino Superior,Docencia para o Ensino Superior,EaD,Outro,250.0,125.0,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,125.0, - ,false,false,false,false,0, - , - , - 
419456,MBA em Planejamento Estratégico e Análise de Negócios,MBA em Planejamento Estratégico e Análise de Negócios,EaD,Outro,319.0,159.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,159.5, - ,false,false,false,false,0, - , - , - 
419457,MBA em Gestão de Projetos,MBA em Gestão de Projetos,EaD,Outro,319.0,159.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,159.5, - ,false,false,false,false,0, - , - , - 
419458,MBA em Gestão e Desenvolvimento de Pessoas e Talentos,MBA em Gestão e Desenvolvimento de Pessoas e Talentos,EaD,Outro,319.0,159.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,159.5, - ,false,false,false,false,0, - , - , - 
419459,MBA em Gestão Financeira e Controladoria,MBA em Gestão Financeira e Controladoria,EaD,Outro,319.0,159.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,159.5, - ,false,false,false,false,0, - , - , - 
419460,MBA em Logística,MBA em Logística,EaD,Outro,319.0,159.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,159.5, - ,false,false,false,false,0, - , - , - 
419461,MBA Executivo em Processos Gerenciais,MBA Executivo em Processos Gerenciais,EaD,Outro,319.0,159.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,159.5, - ,false,false,false,false,0, - , - , - 
419462,MBA em Engenharia de Produção e Gestão da Qualidade,MBA em Engenharia de Produção e Gestão da Qualidade,EaD,Outro,319.0,159.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,159.5, - ,false,false,false,false,1, - , - , - 
419463,Educação Especial e Inclusiva,Educação Especial e Inclusiva,EaD,Outro,199.0,99.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - ,* Isenção da primeira mensalidade.,"* Para definição do polo, entrar em contato com a faculdade.",semestre,2,162,11620,true,true,Pós-graduação Latu Sensu,99.5, - ,false,false,false,false,0, - , - , - 
