id,name,formatted_name,kind,shift,full_price,offered_price,hide_prices,exemption,total_seats,paid_seats,available_seats,visible_seats,use_overbooking,exclusive,discount_group_position,enabled_in_discount_group,visible_in_discount_group,exclusivity_revision,extra_discount_text,extra_benefit,extra_warning,period_kind,max_periods,university_id,campus_id,enabled,enabled_for_seo,level,contribution_price,facebook_message,partner_fies,hidden,early_enrollment,force_price_update,pending_seats,metadata[code],metadata[shift_code],metadata[level_code]
260195,Administração,Administração,Presencial,Noite,976.89,810.87,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,1189,10234,false,true,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
260196,Ciências Contábeis,Ciências Contábeis,Presencial,Noite,895.92,743.6,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,1189,10234,false,true,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
260197,Marketing,Marketing,Presencial,Noite,999.29,829.4,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,1189,10234,false,true,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
260198,Relações Internacionais,Relações Internacionais,Presencial,Noite,999.29,829.4,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,1189,10234,false,true,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
260199,Pedagogia,Pedagogia,Presencial,Noite,887.14,736.34,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,1189,10234,false,true,Licenciatura, - , - ,false,false,false,false,0, - , - , - 
260200,Gestão de Recursos Humanos,Gestão de Recursos Humanos,Presencial,Noite,834.58,692.7,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,1189,10234,false,true,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
260201,Comércio Exterior,Comércio Exterior,Presencial,Noite,827.01,686.4,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,1189,10234,false,true,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
311716,Controladoria e Finanças,Controladoria e Finanças,Presencial,Outro,432.95,216.48,false,false, - ,0, - , - ,false,false, - ,false,false,0, - , - ,"* As aulas de pós serão realizadas a cada 15 dias, ás sextas-feiras a noite e sábados de manhã.",semestre,3,1189,10234,true,true,Pós-graduação, - , - ,false,false,false,false,0, - , - , - 
311717,Educação Interdisciplinar,Educação Interdisciplinar,Presencial,Outro,234.74,194.83,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,18,1189,10234,false,true,Pós-graduação, - , - ,false,false,false,false,0, - , - , - 
311718,Engenharia e Segurança do Trabalho,Engenharia e Segurança do Trabalho,Presencial,Outro,534.0,267.0,false,false, - ,0, - , - ,false,false, - ,false,false,0, - , - ,"* As aulas de pós serão realizadas a cada 15 dias, ás sextas-feiras a noite e sábados de manhã.",semestre,4,1189,10234,true,true,Pós-graduação, - , - ,false,false,false,false,1, - , - , - 
362248,Administração,Administração - Bolsa Exclusiva 59.0%,Presencial,Noite,1074.52,440.55,false,false,4,0,4,4,false,true, - ,false,false,0, - , - , - ,semestre,8,1189,10234,true,true,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
362249,Ciências Contábeis,Ciências Contábeis - Bolsa Exclusiva 70.0%,Presencial,Noite,985.51,295.65,false,false,1,0,1,1,false,true, - ,false,false,0, - , - , - ,semestre,8,1189,10234,true,true,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
362250,Pedagogia,Pedagogia - Bolsa Exclusiva 70.0%,Presencial,Noite,975.85,292.76,false,false,1,1,0,0,false,true, - ,false,false,0, - , - , - ,semestre,8,1189,10234,true,true,Licenciatura, - , - ,false,false,false,false,0, - , - , - 
362251,Recursos Humanos,Recursos Humanos - Bolsa Exclusiva 70.0%,Presencial,Noite,918.04,275.41,false,false,3,2,1,1,false,true, - ,false,false,0, - , - , - ,semestre,4,1189,10234,true,true,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
362252,Especialização em Educação Especial Inclusiva,Especialização em Educação Especial Inclusiva,Presencial,Outro,262.95,131.48,false,false, - ,0, - , - ,false,false, - ,false,false,0, - , - ,"* As aulas de pós serão realizadas a cada 15 dias, ás sextas-feiras a noite e sábados de manhã.",semestre,3,1189,10234,true,true,Pós-graduação, - , - ,false,false,false,false,0, - , - , - 
362253,Especialização em Educação Interdisciplinar,Especialização em Educação Interdisciplinar,Presencial,Outro,262.95,131.48,false,false, - ,0, - , - ,false,false, - ,false,false,0, - , - ,"* As aulas de pós serão realizadas a cada 15 dias, ás sextas-feiras a noite e sábados de manhã.",semestre,3,1189,10234,true,true,Pós-graduação, - , - ,false,false,false,false,0, - , - , - 
