id,name,formatted_name,kind,shift,full_price,offered_price,hide_prices,exemption,total_seats,paid_seats,available_seats,visible_seats,use_overbooking,exclusive,discount_group_position,enabled_in_discount_group,visible_in_discount_group,exclusivity_revision,extra_discount_text,extra_benefit,extra_warning,period_kind,max_periods,university_id,campus_id,enabled,enabled_for_seo,level,contribution_price,facebook_message,partner_fies,hidden,early_enrollment,force_price_update,pending_seats,metadata[code],metadata[shift_code],metadata[level_code]
5938,Direito,Direito,Presencial,Manhã,500.0,450.0,false,false, - ,2, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,false,false,Graduação, - , - ,false,false,false,false,0, - , - , - 
5939,Direito,Direito,Presencial,Noite,650.0,585.0,false,false, - ,7, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,false,false,Graduação, - , - ,false,false,false,false,0, - , - , - 
5940,Pedagogia,Pedagogia,Presencial,Manhã,411.0,369.9,false,false, - ,3, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,false,false,Graduação, - , - ,false,false,false,false,0, - , - , - 
5941,Pedagogia,Pedagogia,Presencial,Noite,411.0,369.9,false,false, - ,1, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,false,false,Graduação, - , - ,false,false,false,false,0, - , - , - 
5942,Publicidade e Propaganda,Publicidade e Propaganda,Presencial,Manhã,415.0,352.75,false,false, - ,12, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,7,74,206,true,true,Bacharelado,124.5, - ,false,false,false,false,1, - , - , - 
5943,Publicidade e Propaganda,Publicidade e Propaganda,Presencial,Noite,489.0,415.65,false,false, - ,20, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,7,74,206,true,true,Bacharelado,146.7, - ,false,false,false,false,3, - , - , - 
73925,Administração,Administração,Presencial,Manhã,353.0,300.05,false,false, - ,9, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,true,true,Bacharelado,158.85, - ,false,false,false,false,10, - , - , - 
73926,Administração,Administração,Presencial,Noite,415.0,352.75,false,false, - ,38, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,true,true,Bacharelado,124.5, - ,false,false,false,false,13, - , - , - 
73927,Ciências Contábeis,Ciências Contábeis,Presencial,Manhã,353.0,300.05,false,false, - ,3, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,true,true,Bacharelado,105.9, - ,false,false,false,false,1, - , - , - 
73928,Ciências Contábeis,Ciências Contábeis,Presencial,Noite,419.0,356.15,false,false, - ,23, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,true,true,Bacharelado,125.7, - ,false,false,false,false,5, - , - , - 
73929,Direito,Direito,Presencial,Manhã,405.0,344.25,false,false, - ,26, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,10,74,206,true,true,Bacharelado,91.13, - ,false,false,false,false,30, - , - , - 
73930,Direito,Direito,Presencial,Noite,475.0,403.75,false,false, - ,34, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,10,74,206,true,true,Bacharelado,142.5, - ,false,false,false,false,33, - , - , - 
73931,Pedagogia,Pedagogia,Presencial,Manhã,309.0,262.65,false,false, - ,7, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,206,true,true,Licenciatura,139.05, - ,false,false,false,false,10, - , - , - 
73932,Pedagogia,Pedagogia,Presencial,Noite,359.0,305.15,false,false, - ,5, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,206,true,true,Licenciatura,161.55, - ,false,false,false,false,6, - , - , - 
73935,Gestão Financeira,Gestão Financeira,Presencial,Manhã,309.0,262.65,false,false, - ,6, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,206,true,true,Tecnólogo,139.05, - ,false,false,false,false,0, - , - , - 
73936,Gestão Financeira,Gestão Financeira,Presencial,Noite,359.0,305.15,false,false, - ,8, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,206,true,true,Tecnólogo,107.7, - ,false,false,false,false,5, - , - , - 
73937,Gestão de Recursos Humanos,Gestão de Recursos Humanos,Presencial,Manhã,309.0,262.65,false,false, - ,11, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,206,true,true,Tecnólogo,139.05, - ,false,false,false,false,7, - , - , - 
73938,Gestão de Recursos Humanos,Gestão de Recursos Humanos,Presencial,Noite,359.0,305.15,false,false, - ,15, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,206,true,true,Tecnólogo,161.55, - ,false,false,false,false,7, - , - , - 
87088,Logística,Logística,Presencial,Manhã,309.0,262.65,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,206,false,true,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
87089,Logística,Logística,Presencial,Manhã,309.0,262.65,false,false, - ,1, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,6743,true,true,Tecnólogo,120.0, - ,false,false,false,false,4, - , - , - 
87091,Logística,Logística,Presencial,Noite,359.0,305.15,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,206,false,true,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
126461,Marketing,Marketing,Presencial,Manhã,309.0,262.65,false,false, - ,3, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,206,true,true,Tecnólogo,139.05, - ,false,false,false,false,7, - , - , - 
126462,Marketing,Marketing,Presencial,Noite,339.0,288.15,false,false, - ,15, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,206,true,true,Tecnólogo,152.55, - ,false,false,false,false,11, - , - , - 
144169,Análise e Desenvolvimento Sistemas,Análise e Desenvolvimento Sistemas,Presencial,Noite,621.0,527.85,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,5,74,206,false,false,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
144170,Arquitetura e Urbanismo,Arquitetura e Urbanismo,Presencial,Noite,941.0,799.85,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,10,74,206,false,false,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
144171,Biomedicina,Biomedicina,Presencial,Manhã,706.0,600.1,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,false,false,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
144172,Biomedicina,Biomedicina,Presencial,Noite,706.0,600.1,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,false,false,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
144173,Enfermagem,Enfermagem,Presencial,Manhã,690.0,586.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,false,false,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
144174,Enfermagem,Enfermagem,Presencial,Noite,690.0,586.5,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,206,false,false,Bacharelado, - , - ,false,false,false,false,0, - , - , - 
144175,Gestão Hospitalar,Gestão Hospitalar,Presencial,Manhã,529.0,449.65,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,206,false,false,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
144176,Gestão Hospitalar,Gestão Hospitalar,Presencial,Noite,529.0,449.65,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,206,false,false,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
144177,Radiologia,Radiologia,Presencial,Manhã,529.0,449.65,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,206,false,false,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
144178,Radiologia,Radiologia,Presencial,Noite,529.0,449.65,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,206,false,false,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
144179,Redes de Computadores,Redes de Computadores,Presencial,Noite,682.0,579.7,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,5,74,206,false,false,Tecnólogo, - , - ,false,false,false,false,0, - , - , - 
260056,Análise e Desenvolvimento de Sistemas,Análise e Desenvolvimento de Sistemas,Presencial,Noite,359.0,305.15,false,false, - ,12, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,5,74,6743,true,true,Tecnólogo,107.7, - ,false,false,false,false,9, - , - , - 
260057,Arquitetura e Urbanismo,Arquitetura e Urbanismo,Presencial,Noite,619.0,526.15,false,false, - ,21, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,10,74,6743,true,true,Bacharelado,185.7, - ,false,false,false,false,27, - , - , - 
260058,Biomedicina,Biomedicina,Presencial,Manhã,389.0,330.65,false,false, - ,16, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,6743,true,true,Bacharelado,175.05, - ,false,false,false,false,31, - , - , - 
260059,Biomedicina,Biomedicina,Presencial,Noite,429.0,364.65,false,false, - ,26, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,6743,true,true,Bacharelado,128.7, - ,false,false,false,false,19, - , - , - 
260060,Ciências Biológicas,Ciências Biológicas,Presencial,Manhã,389.0,330.65,false,false, - ,1, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,6743,true,true,Bacharelado,116.7, - ,false,false,false,false,1, - , - , - 
260061,Ciências Biológicas,Ciências Biológicas,Presencial,Noite,429.0,364.65,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,6743,true,true,Bacharelado,96.53, - ,false,false,false,false,1, - , - , - 
260062,Ciências Biológicas,Ciências Biológicas,Presencial,Manhã,309.0,262.65,false,false, - ,1, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,6743,true,true,Licenciatura,139.05, - ,false,false,false,false,3, - , - , - 
260063,Ciências Biológicas,Ciências Biológicas,Presencial,Noite,359.0,305.15,false,false, - ,1, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,6743,true,true,Licenciatura,107.7, - ,false,false,false,false,3, - , - , - 
260064,Design Gráfico,Design Gráfico,Presencial,Noite,349.0,296.65,false,false, - ,11, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,4,74,6743,true,true,Tecnólogo,104.7, - ,false,false,false,false,13, - , - , - 
260065,Educação Física,Educação Física,Presencial,Manhã,389.0,330.65,false,false, - ,2, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,6743,true,true,Bacharelado,175.05, - ,false,false,false,false,3, - , - , - 
260066,Educação Física,Educação Física,Presencial,Noite,429.0,364.65,false,false, - ,10, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,6743,true,true,Bacharelado,128.7, - ,false,false,false,false,8, - , - , - 
260067,Educação Física,Educação Física,Presencial,Manhã,309.0,262.65,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,6743,true,true,Licenciatura,92.7, - ,false,false,false,false,0, - , - , - 
260068,Educação Física,Educação Física,Presencial,Noite,359.0,305.15,false,false, - ,2, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,6,74,6743,true,true,Licenciatura,107.7, - ,false,false,false,false,3, - , - , - 
260069,Enfermagem,Enfermagem,Presencial,Manhã,389.0,330.65,false,false, - ,31, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,6743,true,true,Bacharelado,175.05, - ,false,false,false,false,24, - , - , - 
260070,Enfermagem,Enfermagem,Presencial,Noite,429.0,364.65,false,false, - ,28, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,8,74,6743,true,true,Bacharelado,128.7, - ,false,false,false,false,25, - , - , - 
260071,Engenharia Civil,Engenharia Civil,Presencial,Noite,589.0,500.65,false,false, - ,14, - ,0,false,false, - ,false,false,0, - , - , - ,semestre,10,74,6743,true,true,Bacharelado,132.53, - ,false,false,false,false,5, - , - , - 
