id,name,formatted_name,kind,shift,full_price,offered_price,hide_prices,exemption,total_seats,paid_seats,available_seats,visible_seats,use_overbooking,exclusive,discount_group_position,enabled_in_discount_group,visible_in_discount_group,exclusivity_revision,extra_discount_text,extra_benefit,extra_warning,period_kind,max_periods,university_id,campus_id,enabled,enabled_for_seo,level,contribution_price,facebook_message,partner_fies,hidden,early_enrollment,force_price_update,pending_seats,metadata[code],metadata[shift_code],metadata[level_code]
348326,Administração Pública,Administração Pública,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348327,Alfabetização e Letramento,Alfabetização e Letramento,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348328,"Alimentos, Saúde e Nutrição","Alimentos, Saúde e Nutrição",EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348329,Atendimento Educacional Especializado e a Psicomotricidade,Atendimento Educacional Especializado e a Psicomotricidade,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348330,Coordenação Pedagógica e Planejamento,Coordenação Pedagógica e Planejamento,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348331,Desenvolvimento Sustentável,Desenvolvimento Sustentável,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348332,Desing de Interiores,Desing de Interiores,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348333,Direito Administrativo,Direito Administrativo,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348334,Direito Ambiental,Direito Ambiental,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348335,Direito Civil,Direito Civil,EaD,Outro,129.0,90.3,false,false, - ,1, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348336,Direito do Consumidor,Direito do Consumidor,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
348337,Direito do Trabalho,Direito do Trabalho,EaD,Outro,129.0,90.3,false,false, - ,0, - ,0,false,false, - ,false,false,0, - , - , - ,mes,6,1952,10500,true,true,Pós-graduação Latu Sensu, - , - ,false,false,false,false,0, - , - , - 
